"id","name","geom","nametr"
71,"Қарқаралы","0101000020E6100000E05630E01BDE5240FE8AEBCEC9B44840","Karkaralı"
72,"Приозёрск","0101000020E6100000C13A8E1F2A6C52408463963D09044740","Priozyorsk"
73,"Саран","0101000020E6100000A917D753063552401A38FB5E9EE64840","Saran"
74,"Сәтбаев","0101000020E6100000713C9F01F5E1504022C66B5ED5F34740","Sәtbaev"
75,"Ерейментау","0101000020E6100000D906EE409D465240B534B74258CF4940","Ereymentau"
76,"Абай","0101000020E610000089F60C3CD2375240EF98709EA0D04840","Abay"
77,"Ақтау","0101000020E6100000E674594CEC435240D683937E0C1C4940","Aktau"
78,"Арқалық","0101000020E610000069C4CC3E8FBA50405ED905836B204940","Arkalık"
79,"Гүлшат","0101000020E6100000E44EE960FD965240DC2DC901BB504740","Gülşat"
80,"Шахан","0101000020E6100000F4BB557CE8295240928C41CCCAE84840","Şahan"
81,"Шахтинск","0101000020E61000002C7299E411265240A07A5A3453DA4840","Şahtinsk"
82,"Топар","0101000020E610000028B682A62535524002D1387936C24840","Topar"
83,"Қарабалық","0101000020E6100000F451465C00084F40FBB1497EC4DF4A40","Karabalık"
84,"Есіл","0101000020E6100000D2B9EC212B9A5040F5DB323BE6FA4940","Esіl"
85,"Атбасар","0101000020E610000025805138F1165140AE7E11D9ACE74940","Atbasar"
86,"Шемонаиха","0101000020E61000007C9D2F51987A544080DA03087A504940","Şemonaiha"
87,"Курчатов","0101000020E61000006E0BE0771DA35340B066AE1DD6604940","Kurçatov"
88,"Амангелді","0101000020E610000045BC75FE6D4C50401FD8F15F20174940","Amangeldі"
89,"Державинск","0101000020E61000000773052516945040838362D0AE8C4940","Derjavinsk"
90,"Новоишимское","0101000020E610000034524A638FB350401FDECE19AC9A4A40","Novoişimskoe"
91,"Сергеевка","0101000020E61000007427D87F9DDA504073309B00C3F04A40","Sergeevka"
92,"Зеренді","0101000020E61000008578245E9E4951407636E49F19744A40","Zerendі"
93,"Имантау","0101000020E61000006BA5C63A0B175140846165D9387D4A40","İmantau"
94,"Аксай","0101000020E6100000CE4F711C78814A406D00362042964940","Aksay"
95,"Үлкен Нарын","0101000020E610000045D4449F8F2055404089CF9D609B4840","Ülken Narın"
96,"Макинск","0101000020E6100000C5707500C49A51404C4F58E201514A40","Makinsk"
97,"Степняк","0101000020E610000071BDB7335DB25140422E2757676A4A40","Stepnyak"
98,"Жаңақорған","0101000020E610000070EEAF1EF7CF50409A5C8C8175F44540","JaNgakorğan"
99,"Астраханка","0101000020E610000055849B8CAA725140460C9645BCC34940","Astrahanka"
100,"Алға","0101000020E6100000F3FFAA2347AA4C4072DF6A9DB8F24840","Alğa"
101,"Шыңғырлау","0101000020E610000066D993C0E60A4B40A1866F61DD8C4940","ŞıNgğırlau"
102,"Аққыстау","0101000020E6100000F0DB10E335814940D80C7041B69C4740","Akkıstau"
103,"Жаңақала","0101000020E610000036CB65A3732649407A36AB3E579B4840","JaNgakala"
104,"Тасқала","0101000020E61000000821205F42254940E31B0A9FAD8D4940","Taskala"
105,"Перемётное","0101000020E6100000BC22F8DF4A6C4940E59CD843FB984940","Peremyotnoe"
106,"Жәнібек","0101000020E6100000EC3AAF0C056D4740A67B421B25B64840","Jәnіbek"
107,"Казталовка","0101000020E610000061527C7C425848407F30F0DC7BE24840","Kaztalovka"
108,"Чапаев","0101000020E61000003AEF5A9DF7954940F4E4F5BB0B184940","Çapaev"
109,"Жымпиты","0101000020E6100000FC034070F04C4A40E2CB441152214940","Jımpitı"
110,"Қаратөбе","0101000020E61000000B09185DDEC04A4061FA5E4370D84840","Karatöbe"
111,"Сайқын","0101000020E6100000EFE4D3635B624740EB1B98DC28684840","Saykın"
112,"Шетпе","0101000020E610000016B4DA0DEC134A40307CE99216124640","Şetpe"
113,"Ертіс","0101000020E61000001B5F20AD56DD5240A3A2FB8392AA4A40","Ertіs"
114,"Ақсу","0101000020E6100000D6EBCCF316FF5140B27F9E060C3B4A40","Aksu"
115,"Қобда","0101000020E6100000DD7470557ED54B4068507E9C7A134940","Kobda"
116,"Серебрянск","0101000020E610000016C0948103D354403C4A253CA1D74840","Serebryansk"
117,"Денисовка","0101000020E610000095BA641C23DF4E40AA656B7D91384A40","Denisovka"
118,"Тайынша","0101000020E6100000D07F0F5EBB70514028D2FD9C82EC4A40","Tayınşa"
119,"Сарыкөл","0101000020E6100000E200FA7DFF6250403D98141F9FA84A40","Sarıköl"
120,"Жалтыр","0101000020E6100000312592E865755140B17E7DBE77D04940","Jaltır"
121,"Үштөбе","0101000020E61000009AFA2FC6F67E53404EBBF31F2DA04640","Üştöbe"
122,"Атамекен","0101000020E6100000A537370161325340A565A4DE53214A40","Atameken"
123,"Бұлақты","0101000020E610000070EEAF1EF7455440A774B0FECF174740","Bұlaktı"
124,"Ақсуат","0101000020E6100000C4C25AC697B354406633E25D89E14740","Aksuat"
125,"Қасым Қайсенов кенті","0101000020E61000002D2E443D339F5440FCEA60B312F04840","Kasım Kaysenov kentі"
126,"Шиелі","0101000020E6100000522B4CDF6BAF5040A323B9FC87164640","Şielі"
127,"Екібастұз","0101000020E61000003BF07BE50BD552408455AB6521DD4940","Ekіbastұz"
128,"Ботақара","0101000020E6100000EDEF6C8FDE6D5240F4ED13F6A3074940","Botakara"
129,"Шідерті","0101000020E6100000C86D45AC0FAB5240994DDB1A6CDB4940","Şіdertі"
130,"Жітіқара","0101000020E610000070B6B9313D984E4014B8D0F0C1174A40","Jіtіkara"
131,"Шортанды","0101000020E610000012B7AFA82DBF514018247D5A45D94940","Şortandı"
132,"Ақмол","0101000020E6100000D38F3CC6CBBE51405EC9440026894940","Akmol"
133,"Қашар","0101000020E6100000FB3E1C24446F4F40E603029D49AF4A40","Kaşar"
134,"Молодёжный","0101000020E610000011514CDE00625240300E2E1D735C4940","Molodyojnıy"
135,"Қаскелең","0101000020E6100000B84489F1752753408C8752D6CA974540","KaskeleNg"
136,"Мәмлүт","0101000020E61000004A287D21E4225140F88A6EBDA6774B40","Mәmlüt"
137,"Караменды","0101000020E610000042D13C80450E5040F1D8CF6229D44940","Karamendı"
138,"Құсмұрын","0101000020E6100000941799805F2750406AA67B9DD4394A40","Kұsmұrın"
139,"Фёдоровка","0101000020E61000001D7233DC80594F40A9DDAF027CD14A40","Fyodorovka"
140,"Улытау","0101000020E61000006786E86B71C050404AAB6BFEA9534840","Ulıtau"
141,"Торгай","0101000020E6100000994A3FE1ECBE4F40BC3D0801F9D04840","Torgay"
142,"Мәртөк","0101000020E6100000EF213C35F23F4C40E85729F3455F4940","Mәrtök"
143,"Булаев","0101000020E610000061889CBE9E9C51404EF2237EC5724B40","Bulaev"
144,"Шолаққорған","0101000020E610000041D47D00524B5140BE67244223E24540","Şolakkorğan"
145,"Шәуілдір","0101000020E6100000373811FDDA17514003D19332A9634540","Şәuіldіr"
146,"Боровской","0101000020E6100000749593F5400B5040DAE4F04927E74A40","Borovskoy"
147,"Тобыл","0101000020E6100000CBBE2B82FFD94F40471FF301819A4A40","Tobıl"
148,"Шантобе","0101000020E61000000133DFC14F0B514000000000003A4A40","Şantobe"
149,"Тобыл","0101000020E610000019E76F42214C4F405704FF5BC9584A40","Tobıl"
150,"Аршалы","0101000020E61000008890042B980B5240279133034B6A4940","Arşalı"
151,"Станционный","0101000020E6100000963E74417D5F514030116F9D7FAD4A40","Stantsionnıy"
152,"Бадамша","0101000020E6100000A5DDE8633E244D40C382FB010F484940","Badamşa"
153,"Ойыл","0101000020E610000081E84999D4544B4017A87B5347894840","Oyıl"
154,"Темір","0101000020E610000019A5F04520904C40C21E6EE23F924840","Temіr"
155,"Бақанас","0101000020E610000038A45181931153407EA8346266674640","Bakanas"
