"id","name","geom"
80,"Alper","0101000020E610000000411427526B44400D3DBDAD4FE14240"
81,"Aşağı Kılavuztepe","0101000020E6100000D57EC6E0BC554440AF5A99F04BE04240"
82,"Çayırlı","0101000020E610000044A2D0B2EE70444073BE333564D54240"
83,"Salamet","0101000020E6100000E8397D9818644440A8A55E5C4FD94240"
84,"Yarımca","0101000020E6100000880A7A1453D144407434FDC863BB4240"
85,"Ağaçlı","0101000020E61000007C69E5B919DB44409ED0EB4FE2B54240"
86,"Kavak","0101000020E6100000D712F241CFBB444000B3D6AB23D54240"
87,"Muratlı","0101000020E6100000670A9DD7D8924440AC25789ED3DA4240"
88,"Akbaş","0101000020E610000037FFAF3A729344406A3414D275D84240"
89,"mezra","0101000020E6100000A70936093995444061E696B1FCDB4240"
90,"Kaynarca","0101000020E610000034A20FF16AC74440D1521E824FD24240"
91,"Akbelen","0101000020E610000069E04735ECE144401F91A5C5CFD24240"
92,"Sarp","0101000020E6100000164B36C3B2DA4440A148F7730ACE4240"
93,"Erdoğdu","0101000020E6100000D80A3FDDE5E94440C6BFCFB870DD4240"
94,"Kumlu","0101000020E61000006EB603BF57FA444091A053EB580D4340"
95,"Uğurlu","0101000020E6100000674FB80D59F244403E85121C4D0C4340"
96,"Ayranlı","0101000020E6100000737A83D492F8444087489748B30A4340"
97,"Kutluca","0101000020E6100000EF4394E5DAF444401178BBB953024340"
98,NULL,"0101000020E6100000A818E76F42F644403EF2BD75B40D4340"
99,"mezra","0101000020E6100000D097DEFE5CE64440A884718115064340"
100,"Taraklı","0101000020E61000009CE8A9C42BEA444091C9F32A7C074340"
101,"Düzlüce","0101000020E61000000314D9BDCBE44440C51D6FF25BFC4240"
102,"Evciler","0101000020E6100000E42B26DB65DA4440052F9F515FE64240"
103,"Akıncı","0101000020E6100000AB104537B1EE4440DC8541F4FFFD4240"
104,NULL,"0101000020E61000002A2A2C02ADC34440437C163A65E94240"
105,NULL,"0101000020E6100000CD8646C19DCA44409C525E2BA1E54240"
106,"Tepebaşı","0101000020E6100000DC5A70500C76444021C610A562E04240"
