"id","name","geom"
83,"Sag'bon","0101000020E610000015E06014294B514079F1344F64B44440"
84,NULL,"0101000020E61000000FB0FB33A85C5140AE0BE47E2CBB4440"
85,"Hiyobon","0101000020E61000008B659F6CEF4A5140BAF59A1E14B74440"
86,"G'ishtko'prik","0101000020E6100000C343BD851A575140A6D0798D5DBB4440"
87,"Chuvalachi","0101000020E61000000441DBC50F5051403001AE1A3AB94440"
88,"Yovarik","0101000020E61000003A419B1C3E4D514029B16B7BBBB74440"
89,"Palatau","0101000020E6100000CA518028188A51400B838D4699C94440"
90,"Караултепа","0101000020E6100000528836B60DE150406125D52DF1E84340"
91,"Ageden","0101000020E61000009E4DFD721CA94D4063D57B8560764540"
92,"Shoyon","0101000020E61000004D1B690476D45140E250099975854440"
93,"Джантук","0101000020E61000001E650E933AC2504072EAB93B215A4440"
94,"Issiqkoʻl","0101000020E6100000FAFDAC437FC55040BD231928DF524440"
95,"Стан-Поселение","0101000020E6100000CE48CED3CACB5040E772DE5A81564440"
96,"Зимовка Джамол","0101000020E6100000D179E81695C550406C87D052C35B4440"
97,"Янгитурмуш","0101000020E61000002D1D18E53ECA5040EC5113D8F73E4440"
98,"Tamaguzor","0101000020E6100000A8FC6B7965F7504099DC836B49134440"
99,"Стан","0101000020E61000009C5DADC989CE504023765C435F514440"
100,"Стан","0101000020E6100000E2A0CE2651C850403695A01A8A344440"
101,"Yangiobod","0101000020E61000001F08DA2E7ED750404CFDBCA948404440"
102,"Стан Муминыч","0101000020E6100000D2BBC2CC08C55040E19634EB315E4440"
103,"Стан Рыболовов","0101000020E6100000E08508933DC8504069D9A4EC3E604440"
104,"Поселение","0101000020E6100000E8EAD852D1D1504068E6C93505524440"
105,"Поселение","0101000020E610000024F83A0469725040A2C96A5FE56E4440"
106,"Поселение","0101000020E6100000086A42A4707F5040F5A33C4E2C6B4440"
107,"Поселение","0101000020E6100000FD3D67C1FA7D5040470CF1FE2E714440"
108,"Поселение","0101000020E6100000B2913534AF745040EDF1423A3C724440"
109,"Поселение","0101000020E6100000053C1F54987A50400350D6B9B3654440"
110,"Obirahmat","0101000020E6100000A4B217C04A875140D8182AB5CDC74440"
111,"Качкак","0101000020E6100000C36A871A60C250409652E1197E404440"
112,"Камыш","0101000020E610000014179172C1BD504026FC523F6F444440"
113,"Zafar","0101000020E6100000F1457BBC90395140BCA1DFADE27D4440"
114,"Bahoriston","0101000020E6100000ABB7616FBDD45040BA97457243A64240"
115,"Оltааrук","0101000020E6100000BCAFCA85CAD65040295FD04202A64240"
116,"Salovot","0101000020E6100000136C127294D55040674FB80D59A44240"
117,"Чегара","0101000020E61000004450357A35D55040A9DDAF027CA34240"
118,"Guliston","0101000020E6100000D6C743DFDDD550403333333333A34240"
119,"Sabzipoya","0101000020E610000015CF8F7527D85040216CC207C0A74240"
120,"Qahramon","0101000020E6100000CDCCCCCCCCD85040EC51B81E85A34240"
121,"Кызылбай","0101000020E61000009B75C6F7C5D650400F441669E2A14240"
122,"Каптархана","0101000020E6100000B1FCF9B660D750401763601DC7A14240"
123,"Чарвадор","0101000020E6100000213A048E04D85040A3737E8AE3A04240"
124,"Dehqonmachit","0101000020E61000008474C2957DD950407AB2518CE2A04240"
125,"Ленинъюлы","0101000020E610000088A06AF46AD250409E060C923EA14240"
126,"Тажрибакар","0101000020E6100000A228D027F2D15040F3FFAA2347A24240"
127,"Кызылшарк","0101000020E6100000BD35B05582D2504098DC28B2D6A24240"
128,"Sayrak","0101000020E61000000000000000F050400000000000A04240"
129,"Лупак","0101000020E61000003D450E1137F35040CF543EBAC7AA4240"
130,"Qurt","0101000020E61000008CACEB06C0FC4D400639DED38BFD4440"
131,"Ayaqchi","0101000020E61000005D18E945ED024E40E0BBCD1B27FD4440"
132,"Москва","0101000020E6100000E1B4E0455F074E4060E5D022DB014540"
133,"Yappas","0101000020E6100000581D39D219184E40D881734694FA4440"
134,"Qıtay","0101000020E6100000884677103B194E404B57B08D78FE4440"
135,"Komjangal","0101000020E6100000416898350C1A4E408918C0A5AD014540"
136,"Kiyik kópir","0101000020E610000083D1F6F9391B4E4079F475CF70044540"
137,"Seyit awıl","0101000020E610000071AB2006BA1A4E404B3B35971B064540"
138,"Jumırtaw","0101000020E6100000F6D4EAABAB1E4E40B760A92EE0074540"
139,"Шеxлар","0101000020E610000078F01307D0A74E402BDCF29194984440"
140,"Кичикканглы","0101000020E61000006666666666A64E409A99999999994440"
141,"Отябрьский","0101000020E6100000807EDFBF79B55040E277D32D3B8C4340"
142,"Китоб","0101000020E6100000F9F36DC152B5504040DCD5ABC88A4340"
143,"Qo`shchinor","0101000020E6100000889CBE9EAFB25040812557B1F87D4340"
144,"Shoʻrtan","0101000020E6100000E736E15E997D5040B090B932A85A4340"
145,"Ходжа-Кудук","0101000020E6100000E54350357A7E50406E3480B7408C4340"
146,"Gulbax","0101000020E6100000163E117A6CC95140CCAF8B474E6A4440"
147,"Кара-Калпак","0101000020E61000009A99999999C95140BBD6DEA7AA6A4440"
148,"Найман","0101000020E61000003E9468C9E3D351404774CFBA466D4440"
149,"Qozoqovul","0101000020E6100000A9C0C93670D15140FA27B858516B4440"
150,"Эски-Гулбог","0101000020E6100000C710001C7BCE51405EE85B30026A4440"
151,"Янги-Гулбог","0101000020E6100000738AE99D65CE514095511B8B5C6C4440"
152,"Разъезд №139","0101000020E61000005356783CD220504046E5CBB0F6634440"
153,"Zarbdor","0101000020E6100000A24DC4115AD45040923B1169C0E34340"
154,"Dawıtkól","0101000020E6100000B8B71105E9AF4D409297906A336E4540"
155,"Xо`йамагмуд","0101000020E6100000E030D12005A350406D382C0DFC204340"
156,"Oqravot","0101000020E6100000A646E867EAB2504060CAC0012D234340"
157,"Сарысия","0101000020E6100000F35080CDDEBA5040F6ED2422FC1A4340"
158,"Курходжа","0101000020E6100000F683150214BB50404AD1CABDC0204340"
159,"Откамар","0101000020E610000066DB696B44995040A9C0C93670294340"
160,"Mishenniy Dvor","0101000020E610000014E40C6AE46751406AD37DA598C64440"
161,"Kizilora","0101000020E610000012D90759967C51405EE7F05A53C04440"
162,"Jurekbau","0101000020E61000004858AF7DDC78514067CF0AB19FBE4440"
163,"Sazaul","0101000020E610000068531AD6F978514046729E5676BC4440"
164,"Terekti","0101000020E6100000A6FFF6860C795140CCDF7316ACC54440"
165,"Asrof","0101000020E61000004CB6700FF8B55040CB3D6E090A474440"
166,"Hoja 1","0101000020E61000001F5498ADAB525140BB253960579A4440"
167,"Ulus","0101000020E6100000598F56105E7A5040D99CDE20B5624440"
